Data,DiadaSemana,Mes,Dia,Ano,Jornal,qtNoticias,qtComentarios,qtTweets,qtFacebook,qtLinkedIn,qtGooglePlus,qtTotalEngajamento,qtPos,qtNeg,qtNeu
17/02/2000,Thu,FEV,17,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
17/02/2000,Thu,FEV,17,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
18/02/2000,Fri,FEV,18,2000,G1,0,0,0,0,0,0,0,0,0,0
18/02/2000,Fri,FEV,18,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
18/02/2000,Fri,FEV,18,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
19/02/2000,Sat,FEV,19,2000,G1,0,0,0,0,0,0,0,0,0,0
19/02/2000,Sat,FEV,19,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
19/02/2000,Sat,FEV,19,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
20/02/2000,Sun,FEV,20,2000,G1,0,0,0,0,0,0,0,0,0,0
20/02/2000,Sun,FEV,20,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
20/02/2000,Sun,FEV,20,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
21/02/2000,Mon,FEV,21,2000,G1,0,0,0,0,0,0,0,0,0,0
21/02/2000,Mon,FEV,21,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
21/02/2000,Mon,FEV,21,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
22/02/2000,Tue,FEV,22,2000,G1,0,0,0,0,0,0,0,0,0,0
22/02/2000,Tue,FEV,22,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
22/02/2000,Tue,FEV,22,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
23/02/2000,Wed,FEV,23,2000,G1,0,0,0,0,0,0,0,0,0,0
23/02/2000,Wed,FEV,23,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
23/02/2000,Wed,FEV,23,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
24/02/2000,Thu,FEV,24,2000,G1,0,0,0,0,0,0,0,0,0,0
24/02/2000,Thu,FEV,24,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
24/02/2000,Thu,FEV,24,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
25/02/2000,Fri,FEV,25,2000,G1,0,0,0,0,0,0,0,0,0,0
25/02/2000,Fri,FEV,25,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
25/02/2000,Fri,FEV,25,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
26/02/2000,Sat,FEV,26,2000,G1,0,0,0,0,0,0,0,0,0,0
26/02/2000,Sat,FEV,26,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
26/02/2000,Sat,FEV,26,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
27/02/2000,Sun,FEV,27,2000,G1,0,0,0,0,0,0,0,0,0,0
27/02/2000,Sun,FEV,27,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
27/02/2000,Sun,FEV,27,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
28/02/2000,Mon,FEV,28,2000,G1,0,0,0,0,0,0,0,0,0,0
28/02/2000,Mon,FEV,28,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
28/02/2000,Mon,FEV,28,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
29/02/2000,Tue,FEV,29,2000,G1,0,0,0,0,0,0,0,0,0,0
29/02/2000,Tue,FEV,29,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
29/02/2000,Tue,FEV,29,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
01/03/2000,Wed,MAR,1,2000,G1,0,0,0,0,0,0,0,0,0,0
01/03/2000,Wed,MAR,1,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
01/03/2000,Wed,MAR,1,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
02/03/2000,Thu,MAR,2,2000,G1,0,0,0,0,0,0,0,0,0,0
02/03/2000,Thu,MAR,2,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
02/03/2000,Thu,MAR,2,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
03/03/2000,Fri,MAR,3,2000,G1,0,0,0,0,0,0,0,0,0,0
03/03/2000,Fri,MAR,3,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
03/03/2000,Fri,MAR,3,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
04/03/2000,Sat,MAR,4,2000,G1,0,0,0,0,0,0,0,0,0,0
04/03/2000,Sat,MAR,4,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
04/03/2000,Sat,MAR,4,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
05/03/2000,Sun,MAR,5,2000,G1,0,0,0,0,0,0,0,0,0,0
05/03/2000,Sun,MAR,5,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
05/03/2000,Sun,MAR,5,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
06/03/2000,Mon,MAR,6,2000,G1,0,0,0,0,0,0,0,0,0,0
06/03/2000,Mon,MAR,6,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
06/03/2000,Mon,MAR,6,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
07/03/2000,Tue,MAR,7,2000,G1,0,0,0,0,0,0,0,0,0,0
07/03/2000,Tue,MAR,7,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
07/03/2000,Tue,MAR,7,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
08/03/2000,Wed,MAR,8,2000,G1,0,0,0,0,0,0,0,0,0,0
08/03/2000,Wed,MAR,8,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
08/03/2000,Wed,MAR,8,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
09/03/2000,Thu,MAR,9,2000,G1,0,0,0,0,0,0,0,0,0,0
09/03/2000,Thu,MAR,9,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
09/03/2000,Thu,MAR,9,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
10/03/2000,Fri,MAR,10,2000,G1,0,0,0,0,0,0,0,0,0,0
10/03/2000,Fri,MAR,10,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
10/03/2000,Fri,MAR,10,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
11/03/2000,Sat,MAR,11,2000,G1,0,0,0,0,0,0,0,0,0,0
11/03/2000,Sat,MAR,11,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
11/03/2000,Sat,MAR,11,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
12/03/2000,Sun,MAR,12,2000,G1,0,0,0,0,0,0,0,0,0,0
12/03/2000,Sun,MAR,12,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
12/03/2000,Sun,MAR,12,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
13/03/2000,Mon,MAR,13,2000,G1,0,0,0,0,0,0,0,0,0,0
13/03/2000,Mon,MAR,13,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
13/03/2000,Mon,MAR,13,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
14/03/2000,Tue,MAR,14,2000,G1,0,0,0,0,0,0,0,0,0,0
14/03/2000,Tue,MAR,14,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
14/03/2000,Tue,MAR,14,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
15/03/2000,Wed,MAR,15,2000,G1,0,0,0,0,0,0,0,0,0,0
15/03/2000,Wed,MAR,15,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
15/03/2000,Wed,MAR,15,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
16/03/2000,Thu,MAR,16,2000,G1,0,0,0,0,0,0,0,0,0,0
16/03/2000,Thu,MAR,16,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
16/03/2000,Thu,MAR,16,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
17/03/2000,Fri,MAR,17,2000,G1,0,0,0,0,0,0,0,0,0,0
17/03/2000,Fri,MAR,17,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
17/03/2000,Fri,MAR,17,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
18/03/2000,Sat,MAR,18,2000,G1,0,0,0,0,0,0,0,0,0,0
18/03/2000,Sat,MAR,18,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
18/03/2000,Sat,MAR,18,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
19/03/2000,Sun,MAR,19,2000,G1,0,0,0,0,0,0,0,0,0,0
19/03/2000,Sun,MAR,19,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
19/03/2000,Sun,MAR,19,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
20/03/2000,Mon,MAR,20,2000,G1,0,0,0,0,0,0,0,0,0,0
20/03/2000,Mon,MAR,20,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
20/03/2000,Mon,MAR,20,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
21/03/2000,Tue,MAR,21,2000,G1,0,0,0,0,0,0,0,0,0,0
21/03/2000,Tue,MAR,21,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
21/03/2000,Tue,MAR,21,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
22/03/2000,Wed,MAR,22,2000,G1,0,0,0,0,0,0,0,0,0,0
22/03/2000,Wed,MAR,22,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
22/03/2000,Wed,MAR,22,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
23/03/2000,Thu,MAR,23,2000,G1,0,0,0,0,0,0,0,0,0,0
23/03/2000,Thu,MAR,23,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
23/03/2000,Thu,MAR,23,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
24/03/2000,Fri,MAR,24,2000,G1,0,0,0,0,0,0,0,0,0,0
24/03/2000,Fri,MAR,24,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
24/03/2000,Fri,MAR,24,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
25/03/2000,Sat,MAR,25,2000,G1,0,0,0,0,0,0,0,0,0,0
25/03/2000,Sat,MAR,25,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
25/03/2000,Sat,MAR,25,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
26/03/2000,Sun,MAR,26,2000,G1,0,0,0,0,0,0,0,0,0,0
26/03/2000,Sun,MAR,26,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
26/03/2000,Sun,MAR,26,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
27/03/2000,Mon,MAR,27,2000,G1,0,0,0,0,0,0,0,0,0,0
27/03/2000,Mon,MAR,27,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
27/03/2000,Mon,MAR,27,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
28/03/2000,Tue,MAR,28,2000,G1,0,0,0,0,0,0,0,0,0,0
28/03/2000,Tue,MAR,28,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
28/03/2000,Tue,MAR,28,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
29/03/2000,Wed,MAR,29,2000,G1,0,0,0,0,0,0,0,0,0,0
29/03/2000,Wed,MAR,29,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
29/03/2000,Wed,MAR,29,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
30/03/2000,Thu,MAR,30,2000,G1,0,0,0,0,0,0,0,0,0,0
30/03/2000,Thu,MAR,30,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
30/03/2000,Thu,MAR,30,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
31/03/2000,Fri,MAR,31,2000,G1,0,0,0,0,0,0,0,0,0,0
31/03/2000,Fri,MAR,31,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
31/03/2000,Fri,MAR,31,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
01/04/2000,Sat,ABR,1,2000,G1,0,0,0,0,0,0,0,0,0,0
01/04/2000,Sat,ABR,1,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
01/04/2000,Sat,ABR,1,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
02/04/2000,Sun,ABR,2,2000,G1,0,0,0,0,0,0,0,0,0,0
02/04/2000,Sun,ABR,2,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
02/04/2000,Sun,ABR,2,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
03/04/2000,Mon,ABR,3,2000,G1,0,0,0,0,0,0,0,0,0,0
03/04/2000,Mon,ABR,3,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
03/04/2000,Mon,ABR,3,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
04/04/2000,Tue,ABR,4,2000,G1,0,0,0,0,0,0,0,0,0,0
04/04/2000,Tue,ABR,4,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
04/04/2000,Tue,ABR,4,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
05/04/2000,Wed,ABR,5,2000,G1,0,0,0,0,0,0,0,0,0,0
05/04/2000,Wed,ABR,5,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
05/04/2000,Wed,ABR,5,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
06/04/2000,Thu,ABR,6,2000,G1,0,0,0,0,0,0,0,0,0,0
06/04/2000,Thu,ABR,6,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
06/04/2000,Thu,ABR,6,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
07/04/2000,Fri,ABR,7,2000,G1,0,0,0,0,0,0,0,0,0,0
07/04/2000,Fri,ABR,7,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
07/04/2000,Fri,ABR,7,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
08/04/2000,Sat,ABR,8,2000,G1,0,0,0,0,0,0,0,0,0,0
08/04/2000,Sat,ABR,8,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
08/04/2000,Sat,ABR,8,2000,ESTADAO,0,0,0,0,0,0,0,0,0,0
09/04/2000,Sun,ABR,9,2000,G1,0,0,0,0,0,0,0,0,0,0
09/04/2000,Sun,ABR,9,2000,FOLHASP,0,0,0,0,0,0,0,0,0,0
