data,quantidade
3/1/2013,256
2/28/2013,250
2/27/2013,238
2/26/2013,223
2/25/2013,220
2/24/2013,20
2/23/2013,28
2/22/2013,204
2/21/2013,238
2/20/2013,244
2/19/2013,245
2/18/2013,197
2/15/2013,188
2/14/2013,188
2/13/2013,164
2/12/2013,58
2/11/2013,48
2/8/2013,179
2/7/2013,215
2/6/2013,229
2/5/2013,277
2/4/2013,218
2/3/2013,35
2/2/2013,15
2/1/2013,258
1/31/2013,239
1/30/2013,251
1/3/2013,170
1/2/2013,142
1/1/2013,51
12/31/2012,77
12/30/2012,31
12/28/2012,168
12/27/2012,184
12/24/2012,69
12/21/2012,169
12/20/2012,192
12/19/2012,255
12/18/2012,249
12/14/2012,214
12/12/2012,234
1/22/2014,67
1/21/2014,52
1/20/2014,54
1/19/2014,11
1/17/2014,49
1/16/2014,56
1/15/2014,68
1/14/2014,61
1/13/2014,58
1/12/2014,11
1/11/2014,6
1/10/2014,63
1/9/2014,73
1/8/2014,56
1/7/2014,46
1/6/2014,55
1/5/2014,7
1/4/2014,5
1/3/2014,45
1/2/2014,40
1/1/2014,7
12/31/2013,27
12/30/2013,33
12/29/2013,19
12/28/2013,9
12/27/2013,57
12/26/2013,53
12/25/2013,8
12/24/2013,29
12/23/2013,52
12/22/2013,14
12/21/2013,6
12/20/2013,72
12/19/2013,72
12/18/2013,82
12/17/2013,81
12/16/2013,61
12/15/2013,15
12/13/2013,62
12/12/2013,61
12/11/2013,79
12/10/2013,86
12/9/2013,71
12/8/2013,12
12/7/2013,5
12/5/2013,69
12/4/2013,68
12/3/2013,61
12/2/2013,54
12/1/2013,15
11/30/2013,8
11/29/2013,74
11/28/2013,62
11/27/2013,69
11/26/2013,65
11/25/2013,59
11/24/2013,13
11/23/2013,3
11/22/2013,76
11/21/2013,64
11/20/2013,51
11/19/2013,66
11/18/2013,75
11/17/2013,14
11/16/2013,7
11/15/2013,38
11/14/2013,80
11/13/2013,74
11/12/2013,68
11/11/2013,65
11/10/2013,12
11/8/2013,73
11/7/2013,68
11/6/2013,78
11/5/2013,72
11/4/2013,67
11/2/2013,2
11/1/2013,68
10/31/2013,74
10/30/2013,82
10/29/2013,66
10/28/2013,60
10/27/2013,3
10/26/2013,4
10/25/2013,64
10/24/2013,61
10/23/2013,69
10/22/2013,75
10/21/2013,203
10/19/2013,18
10/18/2013,154
10/17/2013,199
10/16/2013,243
10/15/2013,188
10/14/2013,179
10/13/2013,24
10/12/2013,25
10/11/2013,182
10/10/2013,197
10/9/2013,202
10/8/2013,210
10/7/2013,195
10/6/2013,22
10/5/2013,16
10/4/2013,155
10/3/2013,182
10/2/2013,200
11/9/2013,4
11/3/2013,9
2/15/2011,239
2/14/2011,209
2/11/2011,171
2/10/2011,207
2/9/2011,257
2/8/2011,210
12/14/2013,2
10/20/2013,21
4/24/2013,240
4/23/2013,207
4/19/2013,173
4/18/2013,214
4/17/2013,213
4/16/2013,217
4/15/2013,192
4/14/2013,25
4/13/2013,12
4/12/2013,189
4/11/2013,186
4/10/2013,196
4/9/2013,224
4/8/2013,191
4/7/2013,23
4/6/2013,10
4/5/2013,183
4/4/2013,200
4/3/2013,198
4/1/2013,171
3/29/2013,56
3/28/2013,207
3/27/2013,248
3/26/2013,223
3/25/2013,195
