DiadaSemana,Mes,Dia,Ano,Jornal,Quantidade,Comentarios,Tweets,Facebook,LinkedIn,GooglePlus,TotalRepercussao
Tue,FEV,29,2000,FOLHASP,0,0,0,0,0,0,0
Tue,FEV,29,2000,ESTADAO,0,0,0,0,0,0,0
Wed,MAR,1,2000,G1,0,0,0,0,0,0,0
Wed,MAR,1,2000,FOLHASP,0,0,0,0,0,0,0
Wed,MAR,1,2000,ESTADAO,0,0,0,0,0,0,0
Thu,MAR,2,2000,G1,0,0,0,0,0,0,0
Thu,MAR,2,2000,FOLHASP,0,0,0,0,0,0,0
Thu,MAR,2,2000,ESTADAO,0,0,0,0,0,0,0
Fri,MAR,3,2000,G1,0,0,0,0,0,0,0
Fri,MAR,3,2000,FOLHASP,0,0,0,0,0,0,0
Fri,MAR,3,2000,ESTADAO,0,0,0,0,0,0,0
Sat,MAR,4,2000,G1,0,0,0,0,0,0,0
Sat,MAR,4,2000,FOLHASP,0,0,0,0,0,0,0
Sat,MAR,4,2000,ESTADAO,0,0,0,0,0,0,0
Sun,MAR,5,2000,G1,0,0,0,0,0,0,0
Sun,MAR,5,2000,FOLHASP,0,0,0,0,0,0,0
Sun,MAR,5,2000,ESTADAO,0,0,0,0,0,0,0
Mon,MAR,6,2000,G1,0,0,0,0,0,0,0
Mon,MAR,6,2000,FOLHASP,0,0,0,0,0,0,0
Mon,MAR,6,2000,ESTADAO,0,0,0,0,0,0,0
Tue,MAR,7,2000,G1,0,0,0,0,0,0,0
Tue,MAR,7,2000,FOLHASP,0,0,0,0,0,0,0
Tue,MAR,7,2000,ESTADAO,0,0,0,0,0,0,0
Wed,MAR,8,2000,G1,0,0,0,0,0,0,0
Wed,MAR,8,2000,FOLHASP,0,0,0,0,0,0,0
Wed,MAR,8,2000,ESTADAO,0,0,0,0,0,0,0
Thu,MAR,9,2000,G1,0,0,0,0,0,0,0
Thu,MAR,9,2000,FOLHASP,0,0,0,0,0,0,0
Thu,MAR,9,2000,ESTADAO,0,0,0,0,0,0,0
Fri,MAR,10,2000,G1,0,0,0,0,0,0,0
Fri,MAR,10,2000,FOLHASP,0,0,0,0,0,0,0
Fri,MAR,10,2000,ESTADAO,0,0,0,0,0,0,0
Sat,MAR,11,2000,G1,0,0,0,0,0,0,0
Sat,MAR,11,2000,FOLHASP,0,0,0,0,0,0,0
Sat,MAR,11,2000,ESTADAO,0,0,0,0,0,0,0
Sun,MAR,12,2000,G1,0,0,0,0,0,0,0
Sun,MAR,12,2000,FOLHASP,0,0,0,0,0,0,0
Sun,MAR,12,2000,ESTADAO,0,0,0,0,0,0,0
Mon,MAR,13,2000,G1,0,0,0,0,0,0,0
Mon,MAR,13,2000,FOLHASP,0,0,0,0,0,0,0
Mon,MAR,13,2000,ESTADAO,0,0,0,0,0,0,0
Tue,MAR,14,2000,G1,0,0,0,0,0,0,0
Tue,MAR,14,2000,FOLHASP,0,0,0,0,0,0,0
Tue,MAR,14,2000,ESTADAO,0,0,0,0,0,0,0
Wed,MAR,15,2000,G1,0,0,0,0,0,0,0
Wed,MAR,15,2000,FOLHASP,0,0,0,0,0,0,0
Wed,MAR,15,2000,ESTADAO,0,0,0,0,0,0,0
Thu,MAR,16,2000,G1,0,0,0,0,0,0,0
Thu,MAR,16,2000,FOLHASP,0,0,0,0,0,0,0
Thu,MAR,16,2000,ESTADAO,0,0,0,0,0,0,0
Fri,MAR,17,2000,G1,0,0,0,0,0,0,0
Fri,MAR,17,2000,FOLHASP,0,0,0,0,0,0,0
Fri,MAR,17,2000,ESTADAO,0,0,0,0,0,0,0
Sat,MAR,18,2000,G1,0,0,0,0,0,0,0
Sat,MAR,18,2000,FOLHASP,0,0,0,0,0,0,0
Sat,MAR,18,2000,ESTADAO,0,0,0,0,0,0,0
Sun,MAR,19,2000,G1,0,0,0,0,0,0,0
Sun,MAR,19,2000,FOLHASP,0,0,0,0,0,0,0
Sun,MAR,19,2000,ESTADAO,0,0,0,0,0,0,0
Mon,MAR,20,2000,G1,0,0,0,0,0,0,0
Mon,MAR,20,2000,FOLHASP,0,0,0,0,0,0,0
Mon,MAR,20,2000,ESTADAO,0,0,0,0,0,0,0
Tue,MAR,21,2000,G1,0,0,0,0,0,0,0
Tue,MAR,21,2000,FOLHASP,0,0,0,0,0,0,0
Tue,MAR,21,2000,ESTADAO,0,0,0,0,0,0,0
Wed,MAR,22,2000,G1,0,0,0,0,0,0,0
Wed,MAR,22,2000,FOLHASP,0,0,0,0,0,0,0
Wed,MAR,22,2000,ESTADAO,0,0,0,0,0,0,0
Thu,MAR,23,2000,G1,0,0,0,0,0,0,0
Thu,MAR,23,2000,FOLHASP,0,0,0,0,0,0,0
Thu,MAR,23,2000,ESTADAO,0,0,0,0,0,0,0
Fri,MAR,24,2000,G1,0,0,0,0,0,0,0
Fri,MAR,24,2000,FOLHASP,0,0,0,0,0,0,0
Fri,MAR,24,2000,ESTADAO,0,0,0,0,0,0,0
Sat,MAR,25,2000,G1,0,0,0,0,0,0,0
Sat,MAR,25,2000,FOLHASP,0,0,0,0,0,0,0
Sat,MAR,25,2000,ESTADAO,0,0,0,0,0,0,0
Sun,MAR,26,2000,G1,0,0,0,0,0,0,0
Sun,MAR,26,2000,FOLHASP,0,0,0,0,0,0,0
Sun,MAR,26,2000,ESTADAO,0,0,0,0,0,0,0
Mon,MAR,27,2000,G1,0,0,0,0,0,0,0
Mon,MAR,27,2000,FOLHASP,0,0,0,0,0,0,0
Mon,MAR,27,2000,ESTADAO,0,0,0,0,0,0,0
Tue,MAR,28,2000,G1,0,0,0,0,0,0,0
Tue,MAR,28,2000,FOLHASP,0,0,0,0,0,0,0
Tue,MAR,28,2000,ESTADAO,0,0,0,0,0,0,0
Wed,MAR,29,2000,G1,0,0,0,0,0,0,0
Wed,MAR,29,2000,FOLHASP,0,0,0,0,0,0,0
Wed,MAR,29,2000,ESTADAO,0,0,0,0,0,0,0
Thu,MAR,30,2000,G1,0,0,0,0,0,0,0
Thu,MAR,30,2000,FOLHASP,0,0,0,0,0,0,0
Thu,MAR,30,2000,ESTADAO,0,0,0,0,0,0,0
Fri,MAR,31,2000,G1,0,0,0,0,0,0,0
Fri,MAR,31,2000,FOLHASP,0,0,0,0,0,0,0
Fri,MAR,31,2000,ESTADAO,0,0,0,0,0,0,0
Sat,ABR,1,2000,G1,0,0,0,0,0,0,0
Sat,ABR,1,2000,FOLHASP,0,0,0,0,0,0,0
Sat,ABR,1,2000,ESTADAO,0,0,0,0,0,0,0
Sun,ABR,2,2000,G1,0,0,0,0,0,0,0
Sun,ABR,2,2000,FOLHASP,0,0,0,0,0,0,0
Sun,ABR,2,2000,ESTADAO,0,0,0,0,0,0,0
Mon,ABR,3,2000,G1,0,0,0,0,0,0,0
Mon,ABR,3,2000,FOLHASP,0,0,0,0,0,0,0
Mon,ABR,3,2000,ESTADAO,0,0,0,0,0,0,0
Tue,ABR,4,2000,G1,0,0,0,0,0,0,0
Tue,ABR,4,2000,FOLHASP,0,0,0,0,0,0,0
Tue,ABR,4,2000,ESTADAO,0,0,0,0,0,0,0
Wed,ABR,5,2000,G1,0,0,0,0,0,0,0
Wed,ABR,5,2000,FOLHASP,0,0,0,0,0,0,0
Wed,ABR,5,2000,ESTADAO,0,0,0,0,0,0,0
Thu,ABR,6,2000,G1,0,0,0,0,0,0,0
Thu,ABR,6,2000,FOLHASP,0,0,0,0,0,0,0
Thu,ABR,6,2000,ESTADAO,0,0,0,0,0,0,0
Fri,ABR,7,2000,G1,0,0,0,0,0,0,0
Fri,ABR,7,2000,FOLHASP,0,0,0,0,0,0,0
Fri,ABR,7,2000,ESTADAO,0,0,0,0,0,0,0
Sat,ABR,8,2000,G1,0,0,0,0,0,0,0
Sat,ABR,8,2000,FOLHASP,0,0,0,0,0,0,0
Sat,ABR,8,2000,ESTADAO,0,0,0,0,0,0,0
Sun,ABR,9,2000,G1,0,0,0,0,0,0,0
Sun,ABR,9,2000,FOLHASP,0,0,0,0,0,0,0
Sun,ABR,9,2000,ESTADAO,0,0,0,0,0,0,0
Mon,ABR,10,2000,G1,0,0,0,0,0,0,0
Mon,ABR,10,2000,FOLHASP,0,0,0,0,0,0,0
Mon,ABR,10,2000,ESTADAO,0,0,0,0,0,0,0
Tue,ABR,11,2000,G1,0,0,0,0,0,0,0
Tue,ABR,11,2000,FOLHASP,0,0,0,0,0,0,0
