data,quantidade
12/24/2013,12
11/3/2013,16
10/27/2013,8
10/20/2013,12
10/13/2013,4
10/6/2013,19
9/9/2013,80
12/21/2012,48
9/7/2013,45
9/6/2013,74
9/5/2013,70
9/4/2013,62
9/3/2013,78
9/2/2013,75
8/31/2013,46
8/30/2013,86
8/29/2013,86
8/28/2013,107
8/27/2013,60
8/26/2013,89
8/24/2013,54
8/23/2013,78
8/22/2013,84
8/21/2013,71
8/20/2013,89
8/19/2013,76
8/18/2013,7
8/17/2013,76
8/16/2013,69
8/15/2013,73
8/14/2013,73
8/13/2013,90
8/12/2013,91
8/11/2013,4
8/10/2013,63
8/9/2013,79
8/8/2013,76
8/7/2013,87
8/6/2013,95
8/5/2013,83
8/4/2013,17
8/3/2013,80
8/2/2013,59
8/1/2013,85
7/31/2013,69
7/30/2013,61
7/29/2013,87
7/28/2013,20
7/27/2013,32
7/26/2013,52
7/25/2013,79
7/23/2013,69
7/22/2013,81
7/21/2013,18
7/20/2013,87
7/19/2013,66
7/18/2013,81
7/17/2013,80
7/16/2013,79
7/15/2013,91
7/14/2013,15
7/13/2013,45
7/12/2013,66
7/11/2013,71
7/10/2013,91
7/9/2013,79
7/8/2013,90
7/7/2013,8
7/6/2013,40
7/5/2013,95
7/4/2013,95
7/3/2013,99
7/2/2013,87
7/1/2013,60
6/25/2012,87
6/22/2012,87
6/19/2012,37
6/18/2012,45
6/17/2012,13
6/14/2012,48
6/13/2012,46
6/12/2012,53
6/11/2012,48
6/10/2012,5
6/8/2012,27
5/28/2012,36
5/27/2012,7
5/26/2012,13
5/25/2012,30
5/24/2012,40
5/22/2012,50
5/9/2012,47
5/8/2012,51
5/7/2012,48
5/6/2012,7
9/8/2013,4
9/1/2013,4
8/25/2013,12
6/30/2013,3
6/29/2013,29
6/28/2013,38
6/27/2013,54
6/26/2013,60
6/25/2013,44
6/24/2013,49
6/23/2013,14
6/22/2013,32
6/21/2013,42
6/20/2013,49
6/19/2013,44
6/18/2013,43
6/17/2013,47
6/16/2013,5
6/15/2013,33
6/14/2013,35
6/13/2013,44
6/12/2013,45
6/11/2013,51
6/10/2013,55
6/9/2013,8
6/8/2013,31
6/7/2013,45
6/6/2013,61
6/5/2013,52
6/4/2013,52
6/3/2013,50
6/2/2013,10
6/1/2013,27
5/31/2013,45
5/30/2013,11
5/29/2013,62
5/28/2013,44
5/27/2013,50
5/26/2013,13
5/25/2013,21
5/24/2013,47
5/23/2013,58
5/22/2013,48
5/21/2013,63
5/20/2013,66
5/19/2013,18
5/18/2013,32
5/17/2013,47
5/16/2013,58
5/15/2013,49
5/14/2013,76
5/13/2013,56
5/12/2013,9
5/11/2013,34
5/10/2013,51
5/9/2013,48
5/8/2013,60
5/7/2013,63
5/6/2013,40
5/5/2013,14
5/4/2013,34
5/3/2013,43
5/2/2013,49
5/1/2013,35
4/30/2013,55
4/29/2013,64
4/28/2013,13
4/27/2013,17
4/26/2013,43
4/25/2013,60
4/24/2013,57
4/23/2013,54
4/22/2013,60
4/21/2013,8
4/20/2013,45
4/19/2013,49
4/18/2013,65
4/17/2013,58
4/16/2013,57
4/15/2013,71
4/14/2013,12
4/13/2013,31
4/12/2013,48
4/11/2013,44
4/10/2013,59
4/9/2013,68
4/8/2013,51
4/7/2013,3
4/6/2013,28
4/5/2013,68
4/4/2013,46
4/3/2013,53
4/2/2013,61
4/1/2013,54
3/31/2013,35
3/30/2013,17
3/29/2013,24
3/28/2013,58
3/27/2013,54
3/26/2013,56
3/25/2013,58
3/24/2013,35
3/23/2013,15
3/22/2013,41
3/21/2013,44
3/20/2013,50
3/19/2013,50
3/18/2013,61
3/17/2013,30
3/16/2013,22
3/15/2013,51
3/14/2013,43
3/13/2013,46
3/12/2013,58
3/11/2013,57
3/10/2013,16
3/9/2013,20
3/8/2013,48
3/7/2013,54
3/6/2013,56
3/5/2013,44
3/4/2013,55
3/3/2013,11
3/2/2013,21
3/1/2013,58
2/28/2013,49
2/27/2013,66
2/26/2013,55
2/25/2013,62
2/24/2013,14
2/23/2013,18
2/22/2013,52
2/21/2013,61
2/20/2013,62
2/19/2013,59
2/18/2013,56
2/17/2013,18
2/15/2013,43
2/14/2013,54
2/13/2013,33
2/12/2013,23
2/11/2013,16
2/10/2013,11
2/9/2013,11
2/8/2013,44
2/7/2013,45
2/6/2013,52
2/5/2013,74
2/4/2013,54
2/3/2013,12
2/2/2013,14
2/1/2013,49
1/31/2013,51
2/16/2013,13
1/30/2013,53
1/29/2013,50
1/28/2013,57
1/27/2013,18
1/26/2013,14
1/25/2013,39
1/24/2013,44
1/23/2013,53
1/22/2013,49
1/21/2013,54
1/20/2013,21
1/19/2013,16
1/18/2013,41
1/17/2013,42
1/16/2013,46
1/15/2013,45
1/14/2013,52
1/13/2013,15
1/12/2013,14
1/11/2013,46
1/10/2013,54
1/9/2013,40
1/8/2013,47
1/7/2013,59
1/6/2013,16
1/5/2013,17
1/4/2013,49
1/3/2013,38
1/2/2013,38
10/22/2012,69
9/29/2012,30
12/31/2012,15
12/30/2012,14
12/29/2012,14
12/26/2012,64
12/25/2012,33
12/24/2012,31
12/23/2012,31
1/1/2013,7
12/7/2012,61
12/2/2012,19
10/26/2012,59
12/22/2012,19
12/20/2012,73
12/19/2012,62
12/18/2012,69
12/17/2012,65
12/14/2012,58
12/13/2012,71
12/12/2012,79
12/11/2012,64
12/10/2012,74
12/9/2012,20
12/8/2012,20
12/6/2012,71
12/5/2012,79
12/4/2012,56
12/3/2012,61
12/1/2012,27
11/30/2012,70
11/29/2012,77
11/28/2012,99
11/27/2012,68
11/26/2012,73
11/23/2012,86
11/22/2012,67
11/21/2012,73
11/20/2012,52
11/19/2012,73
11/16/2012,41
11/15/2012,20
11/14/2012,74
11/13/2012,68
11/12/2012,73
11/10/2012,39
11/9/2012,69
11/8/2012,54
11/7/2012,66
11/6/2012,67
11/5/2012,73
11/2/2012,27
11/1/2012,62
10/31/2012,75
10/30/2012,59
10/29/2012,71
10/25/2012,67
10/24/2012,68
10/23/2012,61
10/21/2012,28
10/20/2012,19
10/19/2012,57
10/18/2012,81
10/17/2012,71
10/16/2012,65
10/15/2012,56
10/11/2012,57
10/10/2012,65
10/9/2012,65
10/8/2012,57
10/6/2012,23
10/5/2012,55
10/4/2012,70
10/3/2012,51
10/2/2012,50
10/1/2012,69
9/30/2012,25
9/28/2012,65
9/27/2012,69
9/25/2012,71
9/24/2012,62
9/23/2012,33
9/21/2012,65
9/20/2012,72
9/19/2012,59
9/18/2012,105
9/4/2012,86
8/29/2012,131
8/28/2012,103
8/27/2012,97
8/24/2012,81
8/23/2012,102
8/22/2012,89
8/20/2012,89
8/19/2012,42
8/18/2012,26
8/16/2012,100
8/14/2012,111
8/13/2012,95
8/12/2012,17
8/11/2012,22
8/10/2012,87
8/9/2012,98
8/8/2012,124
8/6/2012,105
8/5/2012,25
8/3/2012,101
8/2/2012,117
8/1/2012,107
7/31/2012,117
7/30/2012,96
7/29/2012,41
7/28/2012,27
7/27/2012,91
7/26/2012,117
7/25/2012,104
7/24/2012,97
7/23/2012,90
7/20/2012,87
7/19/2012,91
7/18/2012,76
7/17/2012,73
7/16/2012,91
7/14/2012,16
7/13/2012,86
7/12/2012,91
7/11/2012,105
7/10/2012,84
7/9/2012,70
7/5/2012,98
7/4/2012,99
7/3/2012,74
6/30/2012,31
6/29/2012,80
6/28/2012,92
6/27/2012,103
6/26/2012,79
6/21/2012,90
6/7/2012,17
6/5/2012,46
6/2/2012,12
5/31/2012,52
5/30/2012,57
5/29/2012,52
12/16/2012,28
12/15/2012,32
11/25/2012,30
11/24/2012,18
11/18/2012,24
11/17/2012,18
11/4/2012,15
11/3/2012,16
10/28/2012,22
10/14/2012,12
10/13/2012,16
10/12/2012,22
10/7/2012,22
10/27/2012,18
9/26/2012,71
9/22/2012,26
9/16/2012,14
9/8/2012,17
8/31/2012,89
8/26/2012,29
8/7/2012,92
7/22/2012,18
7/21/2012,19
7/15/2012,28
7/8/2012,12
7/6/2012,85
7/2/2012,82
7/1/2012,16
6/24/2012,29
6/23/2012,27
6/20/2012,75
6/16/2012,12
6/15/2012,47
6/9/2012,6
6/6/2012,37
6/4/2012,32
6/1/2012,43
11/11/2012,15
4/2/2012,33
3/20/2012,31
2/24/2012,32
2/20/2012,18
2/17/2012,33
2/9/2012,39
1/25/2012,29
1/17/2012,30
1/16/2012,34
1/15/2012,5
1/14/2012,7
1/13/2012,32
1/12/2012,31
1/11/2012,32
1/9/2012,28
1/8/2012,3
1/7/2012,7
1/6/2012,32
1/5/2012,31
12/2/2011,51
9/15/2012,22
9/2/2012,26
8/25/2012,25
8/4/2012,26
7/7/2012,26
9/9/2012,20
9/1/2012,24
4/13/2012,36
4/12/2012,38
4/11/2012,37
4/10/2012,38
4/9/2012,31
4/1/2012,8
3/31/2012,8
3/30/2012,31
3/29/2012,33
3/27/2012,32
3/26/2012,31
3/25/2012,8
3/24/2012,7
3/23/2012,31
3/22/2012,30
3/21/2012,42
3/19/2012,25
3/14/2012,31
3/13/2012,38
3/12/2012,34
3/9/2012,37
3/8/2012,37
3/7/2012,32
3/6/2012,32
3/5/2012,28
3/4/2012,5
3/2/2012,30
3/1/2012,36
2/29/2012,36
2/28/2012,36
2/26/2012,2
2/23/2012,34
2/22/2012,30
2/21/2012,16
2/16/2012,39
2/14/2012,41
2/13/2012,27
2/11/2012,7
2/10/2012,31
2/8/2012,41
2/7/2012,38
2/6/2012,37
2/5/2012,9
2/4/2012,10
2/3/2012,32
2/2/2012,41
1/28/2012,13
1/27/2012,31
1/26/2012,37
1/24/2012,35
1/23/2012,34
1/22/2012,5
1/20/2012,27
1/19/2012,34
1/18/2012,32
1/4/2012,32
12/30/2011,17
12/29/2011,29
12/28/2011,25
12/27/2011,27
12/26/2011,23
12/23/2011,29
12/22/2011,33
12/21/2011,37
12/19/2011,31
12/16/2011,29
12/15/2011,36
12/14/2011,31
12/10/2011,11
12/5/2011,54
11/30/2011,67
11/29/2011,66
11/28/2011,59
11/16/2011,46
11/14/2011,34
11/13/2011,6
11/12/2011,5
11/11/2011,34
11/10/2011,47
11/9/2011,43
11/4/2011,39
11/3/2011,45
11/1/2011,46
10/31/2011,34
10/26/2011,58
10/24/2011,40
10/19/2011,33
10/18/2011,41
10/11/2011,44
9/15/2011,68
9/4/2011,7
9/2/2011,53
9/1/2011,73
8/29/2011,71
8/24/2011,61
7/1/2011,50
6/23/2011,34
6/22/2011,60
6/21/2011,59
6/20/2011,40
6/18/2011,11
9/21/2011,66
6/14/2011,69
9/13/2011,65
9/12/2011,67
6/13/2011,55
12/20/2011,34
11/25/2011,47
11/24/2011,75
11/23/2011,70
11/22/2011,78
11/21/2011,70
11/17/2011,66
5/23/2012,36
5/21/2012,50
5/19/2012,8
5/18/2012,39
5/17/2012,47
5/16/2012,41
5/15/2012,59
5/14/2012,54
5/13/2012,11
5/12/2012,10
5/11/2012,36
5/10/2012,47
5/5/2012,9
5/1/2012,20
4/30/2012,35
4/28/2012,5
4/27/2012,46
4/26/2012,41
4/25/2012,42
4/24/2012,39
4/23/2012,39
4/22/2012,13
4/20/2012,28
4/19/2012,38
4/18/2012,43
4/17/2012,33
4/16/2012,36
4/14/2012,9
4/8/2012,6
4/7/2012,6
4/6/2012,6
4/5/2012,28
4/4/2012,36
4/3/2012,41
3/28/2012,28
3/18/2012,6
3/16/2012,33
3/15/2012,35
3/10/2012,8
3/3/2012,4
2/27/2012,40
2/18/2012,5
2/15/2012,38
2/1/2012,38
1/31/2012,40
1/30/2012,31
1/29/2012,5
1/21/2012,6
1/10/2012,32
1/3/2012,31
1/2/2012,26
12/31/2011,4
12/25/2011,3
12/18/2011,6
12/13/2011,31
12/12/2011,31
12/11/2011,5
12/9/2011,44
12/8/2011,62
12/7/2011,69
12/6/2011,58
12/4/2011,9
12/3/2011,16
11/27/2011,9
11/26/2011,14
11/19/2011,14
11/18/2011,50
11/15/2011,22
11/8/2011,39
11/7/2011,47
11/5/2011,12
11/2/2011,19
10/30/2011,10
10/29/2011,11
10/28/2011,38
10/27/2011,62
10/25/2011,42
10/23/2011,5
10/22/2011,8
10/21/2011,32
10/20/2011,43
10/17/2011,43
10/15/2011,5
10/14/2011,39
10/13/2011,39
10/12/2011,23
10/10/2011,44
10/9/2011,7
10/7/2011,28
10/6/2011,39
10/5/2011,48
10/4/2011,40
10/3/2011,37
10/2/2011,11
10/1/2011,11
9/30/2011,35
9/29/2011,40
9/28/2011,35
9/27/2011,41
9/26/2011,41
9/24/2011,12
9/23/2011,27
9/22/2011,44
9/20/2011,64
9/19/2011,73
9/16/2011,65
9/14/2011,65
9/11/2011,13
9/10/2011,19
9/9/2011,58
9/8/2011,52
9/7/2011,35
9/6/2011,63
9/5/2011,51
9/3/2011,11
8/31/2011,64
8/30/2011,58
8/27/2011,14
8/26/2011,58
8/25/2011,56
8/23/2011,68
8/22/2011,59
8/21/2011,9
8/20/2011,13
8/19/2011,60
8/18/2011,68
8/17/2011,62
8/16/2011,61
8/15/2011,65
8/14/2011,10
8/13/2011,17
8/12/2011,57
8/11/2011,67
8/10/2011,81
8/9/2011,63
8/8/2011,64
8/5/2011,58
8/4/2011,76
8/3/2011,57
8/2/2011,52
8/1/2011,62
7/31/2011,7
7/29/2011,50
7/28/2011,73
7/27/2011,64
7/26/2011,66
7/25/2011,51
7/23/2011,14
7/22/2011,55
7/21/2011,52
7/20/2011,52
7/19/2011,56
7/18/2011,60
7/17/2011,4
7/15/2011,51
7/14/2011,66
7/13/2011,66
7/12/2011,57
7/11/2011,66
7/8/2011,54
7/7/2011,51
7/6/2011,57
7/5/2011,53
7/4/2011,63
7/2/2011,12
6/30/2011,61
6/29/2011,80
6/28/2011,70
6/27/2011,50
6/25/2011,13
6/24/2011,36
