"setor","datahora","media","negocios","quantidade_papeis","volume_financeiro"
"Bens Industriais",20080805,6.30,2480,2428300,27780392
"Bens Industriais",20080806,6.32,1123,1500500,16856922
"Bens Industriais",20080807,7.05,893,818500,8143634
"Bens Industriais",20080808,6.84,1407,1527800,17535891
"Bens Industriais",20080811,6.86,1709,1901200,22063860
"Bens Industriais",20080812,6.46,2366,1896200,22831130
"Bens Industriais",20080813,7.47,2811,2416100,30388804
"Bens Industriais",20080814,7.25,1248,897100,10477376
"Bens Industriais",20080815,6.76,1763,1850700,21759682
"Bens Industriais",20080818,9.05,1307,1449600,18979701
"Bens Industriais",20080819,8.17,1716,1362400,17322219
"Bens Industriais",20080820,6.79,1312,1074600,13646207
"Bens Industriais",20080821,7.63,866,616300,7270304
"Bens Industriais",20080822,8.01,1046,777800,9763271
"Bens Industriais",20080825,7.23,808,653000,7903045
"Bens Industriais",20080826,7.60,1193,1542500,19720090
"Bens Industriais",20080827,7.46,1457,1368600,16578119
"Bens Industriais",20080828,7.65,1433,1214600,14704894
"Bens Industriais",20080829,7.23,1120,1204600,13463567
"Bens Industriais",20080901,7.61,642,421300,5324452
"Bens Industriais",20080902,8.27,1827,1907700,23097811
"Bens Industriais",20080903,7.91,2435,1579700,21757596
"Bens Industriais",20080904,8.02,2013,1433000,19036879
"Bens Industriais",20080905,7.74,2392,1949900,25666617
"Bens Industriais",20080908,7.75,2058,1588000,21194133
"Bens Industriais",20080909,7.73,2263,2253600,28514939
"Bens Industriais",20080910,7.28,2019,2281900,25256224
"Bens Industriais",20080911,7.42,1728,1126700,13597304
"Bens Industriais",20080912,7.82,1491,1165300,13518534
"Bens Industriais",20080915,7.16,1819,1256000,15610753
"Bens Industriais",20080916,6.84,2450,2036600,25286340
"Bens Industriais",20080917,7.20,2081,1696200,21893245
"Bens Industriais",20080918,6.91,2404,1754000,21789273
"Bens Industriais",20080919,7.44,2722,2342100,31405837
"Bens Industriais",20080922,8.06,1779,1600500,21685136
"Bens Industriais",20080923,7.25,1540,1376100,16648772
"Bens Industriais",20080924,6.87,2219,1785300,19691284
"Bens Industriais",20080925,7.03,1731,1490300,17393161
"Bens Industriais",20080926,6.90,4065,5087400,63957811
"Bens Industriais",20080929,6.58,2394,2061200,23742247
"Bens Industriais",20080930,6.83,1909,2206600,25181673
"Bens Industriais",20081001,6.69,1749,1729200,20785043
"Bens Industriais",20081002,6.36,1869,1750200,16318035
"Bens Industriais",20081003,6.51,1639,1742100,17400144
"Bens Industriais",20081006,6.13,1896,2482800,24388313
"Bens Industriais",20081007,6.16,2105,2144700,24069355
"Bens Industriais",20081008,5.99,3616,4049200,42620141
"Bens Industriais",20081009,6.13,2386,2561300,27307903
"Bens Industriais",20081010,4.75,2113,2391500,20664478
"Bens Industriais",20081013,5.21,1812,2605900,18170110
"Bens Industriais",20081014,5.81,1991,1469100,14412006
"Bens Industriais",20081015,5.67,1826,1820800,16415072
"Bens Industriais",20081016,5.39,2015,1794400,16894087
"Bens Industriais",20081017,5.59,2211,1491100,14629734
"Bens Industriais",20081020,5.22,1501,930600,8282504
"Bens Industriais",20081021,5.90,2138,1239200,12383045
"Bens Industriais",20081022,5.33,1833,1758000,16586238
"Bens Industriais",20081023,5.04,2091,1903100,17405402
"Bens Industriais",20081024,4.84,1820,1968700,13253319
"Bens Industriais",20081027,4.68,2110,1993700,13544524
"Bens Industriais",20081028,4.65,3806,2384800,18623408
"Bens Industriais",20081029,5.26,2535,1937400,15914484
"Bens Industriais",20081030,5.67,2151,2599800,21716742
"Bens Industriais",20081031,5.49,1957,1628100,15116836
"Bens Industriais",20081103,5.39,1562,1210400,11036166
"Bens Industriais",20081104,5.93,2170,1547200,15921457
"Bens Industriais",20081105,5.46,1402,1234400,10946668
"Bens Industriais",20081106,5.33,1921,1794300,15780925
"Bens Industriais",20081107,5.38,2978,2110400,19387630
"Bens Industriais",20081110,4.74,2318,1919200,15863302
"Bens Industriais",20081111,4.81,1737,1743800,13650805
"Bens Industriais",20081112,4.85,2591,2203000,16374876
"Bens Industriais",20081113,4.30,2415,2077700,15356878
"Bens Industriais",20081114,4.23,1671,1781400,12440262
"Bens Industriais",20081117,4.85,1655,1184700,9260805
"Bens Industriais",20081118,4.74,1827,1105600,8600326
"Bens Industriais",20081119,4.64,1702,1052800,8135961
"Bens Industriais",20081121,4.35,2375,1191600,8896422
"Bens Industriais",20081124,4.41,1662,1009000,7073733
"Bens Industriais",20081125,4.80,1693,1940200,12026214
"Bens Industriais",20081126,4.66,2526,1911800,14295935
"Bens Industriais",20081127,5.05,966,915500,7167252
"Bens Industriais",20081128,4.67,1165,923800,6500187
"Bens Industriais",20081201,4.60,1051,1181400,8932215
"Bens Industriais",20081202,4.72,2157,1423300,11722455
"Bens Industriais",20081203,4.50,2169,1729800,12825426
"Bens Industriais",20081204,4.76,2746,2354900,15840947
"Bens Industriais",20081205,4.73,3175,2129900,13711136
"Bens Industriais",20081208,4.92,3129,2827700,19396049
"Bens Industriais",20081209,4.82,2299,3719300,32647693
"Bens Industriais",20081210,4.94,1084,995100,7882134
"Bens Industriais",20081211,5.00,2127,1880600,15197074
"Bens Industriais",20081212,5.01,1713,1486400,11265176
"Bens Industriais",20081215,4.71,1212,1268600,10814355
"Bens Industriais",20081216,5.08,2030,1913700,15407077
"Bens Industriais",20081217,4.94,3426,3257100,25712696
"Bens Industriais",20081218,4.82,2351,1602800,13128571
"Bens Industriais",20081219,5.22,1192,1237800,8540565
"Bens Industriais",20081222,5.15,981,806600,6042975
"Bens Industriais",20081223,5.78,763,494300,3737069
"Bens Industriais",20081226,5.09,925,661600,4717172
"Bens Industriais",20081229,5.00,1320,1410500,10516799
"Bens Industriais",20081230,4.59,1101,1645800,11257524
"Bens Industriais",20090102,5.50,1485,1315800,12124224
"Bens Industriais",20090105,5.21,1992,1449300,12187472
"Bens Industriais",20090106,5.42,1391,1593800,10404812
"Bens Industriais",20090107,5.41,1206,1649900,15605380
"Bens Industriais",20090108,5.35,1351,1173100,10598268
"Bens Industriais",20090109,5.16,1972,1506900,12580351
"Bens Industriais",20090112,5.12,2030,1117800,10220857
"Bens Industriais",20090113,4.84,1367,989800,8180077
"Bens Industriais",20090114,5.21,1456,957100,7685498
"Bens Industriais",20090115,5.00,1747,1052500,9474047
"Bens Industriais",20090116,5.10,988,732200,6650894
"Bens Industriais",20090119,5.47,475,315700,2867189
"Bens Industriais",20090120,5.10,1178,1000400,7945238
"Bens Industriais",20090121,5.30,1729,954000,8163747
"Bens Industriais",20090122,5.45,1116,1054800,8656865
"Bens Industriais",20090123,5.25,1005,662400,5849006
"Bens Industriais",20090126,4.74,1037,1008100,8633400
"Bens Industriais",20090127,4.85,1037,855300,6715484
"Bens Industriais",20090128,4.69,3421,2182600,17799917
"Bens Industriais",20090129,4.96,1737,1202600,8471381
"Bens Industriais",20090130,4.40,2835,2288000,14521381
"Bens Industriais",20090202,4.84,2242,1868200,12938010
"Bens Industriais",20090203,5.13,1394,1233000,8568362
"Bens Industriais",20090204,4.89,2619,2264700,16861120
"Bens Industriais",20090205,5.07,1601,934200,7180984
"Bens Industriais",20090206,5.02,1649,1289800,9126470
"Bens Industriais",20090209,4.89,1602,964400,7797480
"Bens Industriais",20090210,5.30,2984,1954700,16422256
"Bens Industriais",20090211,4.69,1089,896700,6700359
"Bens Industriais",20090212,4.95,960,776200,5980384
"Bens Industriais",20090213,5.65,1225,912600,7619834
"Bens Industriais",20090216,5.31,609,549200,3898482
"Bens Industriais",20090217,4.59,1562,1533200,11222833
"Bens Industriais",20090218,4.54,2165,1317100,10290569
"Bens Industriais",20090219,4.85,1096,695500,5277632
"Bens Industriais",20090220,4.25,2687,1595900,11231475
"Bens Industriais",20090225,3.70,5407,4482900,30903238
"Bens Industriais",20090226,4.18,2925,2321500,15776853
"Bens Industriais",20090227,3.56,3048,2734000,16668112
"Bens Industriais",20090302,3.17,4309,3569900,19754571
"Bens Industriais",20090303,3.49,4542,3670200,22336426
"Bens Industriais",20090304,3.31,2876,3010300,15883733
"Bens Industriais",20090305,3.76,3787,2521300,14515340
"Bens Industriais",20090306,3.41,2471,2605500,14702803
"Bens Industriais",20090309,3.89,1680,1408800,7953988
"Bens Industriais",20090310,3.57,2828,2682300,15700515
"Bens Industriais",20090311,3.68,2054,1361000,8342635
"Bens Industriais",20090312,3.71,3325,3671500,21480037
"Bens Industriais",20090313,3.56,2881,2125500,13498011
"Bens Industriais",20090316,3.63,1523,1247200,6812344
"Bens Industriais",20090317,3.64,2072,1836100,8824696
"Bens Industriais",20090318,3.97,2099,2232400,11657898
"Bens Industriais",20090319,3.86,2672,2223100,15273415
"Bens Industriais",20090320,4.60,1980,1494600,9917718
"Bens Industriais",20090323,4.06,3341,2503900,17237520
"Bens Industriais",20090324,4.36,2390,2913500,17207928
"Bens Industriais",20090325,4.10,2427,1704300,11226243
"Bens Industriais",20090326,4.73,3025,2209200,16619388
"Bens Industriais",20090327,4.41,3242,2062100,15259810
"Bens Industriais",20090330,4.28,2893,2045100,14286393
"Bens Industriais",20090331,4.62,2016,1997500,12425906
"Bens Industriais",20090401,4.48,2090,1446500,11055405
"Bens Industriais",20090402,4.45,3325,2172900,16360182
"Bens Industriais",20090403,5.02,2326,1985400,15980246
"Bens Industriais",20090406,4.64,1483,1808100,13595844
"Bens Industriais",20090407,4.46,1904,2073600,13272139
"Bens Industriais",20090408,4.33,1147,1402100,9842870
"Bens Industriais",20090409,4.95,2851,3364600,26359019
"Bens Industriais",20090413,4.96,1805,2168300,18938866
"Bens Industriais",20090414,5.14,4888,4831100,43127171
"Bens Industriais",20090415,5.10,3737,3717200,31815314
"Bens Industriais",20090416,5.37,3381,2678000,21108539
"Bens Industriais",20090417,4.84,1780,2005900,14694852
"Bens Industriais",20090420,4.77,2475,1839800,13975299
"Bens Industriais",20090422,4.84,2192,2014100,15389019
"Bens Industriais",20090423,4.98,2929,3069500,25450816
"Bens Industriais",20090424,4.91,2533,2230500,17391753
"Bens Industriais",20090427,5.20,2191,2514100,21886055
"Bens Industriais",20090428,4.87,2530,4700100,30892104
"Bens Industriais",20090429,5.05,2663,2883600,23149877
"Bens Industriais",20090430,4.99,3014,3978100,33081001
"Bens Industriais",20090504,5.30,3364,2673000,23899354
"Bens Industriais",20090505,5.30,3147,2764000,26410765
"Bens Industriais",20090506,5.31,3154,3773200,36211859
"Bens Industriais",20090507,5.56,2338,2760100,26064496
"Bens Industriais",20090508,5.26,2167,2018600,17405176
"Bens Industriais",20090511,5.26,2467,2494200,23046371
"Bens Industriais",20090512,5.17,2553,2811100,25113967
"Bens Industriais",20090513,5.23,1739,1600700,13226043
"Bens Industriais",20090514,5.25,2037,2084200,17866435
"Bens Industriais",20090515,5.34,2421,1726600,14611995
"Bens Industriais",20090518,5.25,2867,1612300,13966168
"Bens Industriais",20090519,5.27,1922,1243100,11087269
"Bens Industriais",20090520,5.15,1798,1906200,17121937
"Bens Industriais",20090521,4.89,2110,1419800,11579164
"Bens Industriais",20090522,5.16,2532,2063500,16497594
"Bens Industriais",20090525,5.03,972,645700,4474481
"Bens Industriais",20090526,5.08,3161,1559100,13557038
"Bens Industriais",20090527,5.22,2263,1446700,12325113
"Bens Industriais",20090528,4.89,3450,1956800,17283625
"Bens Industriais",20090529,5.02,2075,4362800,39225224
"Bens Industriais",20090601,4.90,3157,2642100,22419391
"Bens Industriais",20090602,4.87,3309,2777400,22895650
"Bens Industriais",20090603,4.83,5168,3783400,33104269
"Bens Industriais",20090604,4.73,3337,2656300,21781873
"Bens Industriais",20090605,4.62,3092,3128300,24088037
"Bens Industriais",20090608,4.64,3573,2618700,20050785
"Bens Industriais",20090609,4.80,2191,1744300,13628032
"Bens Industriais",20090610,4.46,3058,2247400,17844472
"Bens Industriais",20090612,4.38,3389,3288000,23980873
"Bens Industriais",20090615,4.49,3133,2260100,17878490
"Bens Industriais",20090616,4.42,3240,2117500,15905268
"Bens Industriais",20090617,4.31,3567,4207500,29587504
"Bens Industriais",20090618,4.38,1928,2269900,16283326
"Bens Industriais",20090619,4.36,1811,2083400,15699229
"Bens Industriais",20090622,4.37,3463,2744500,21604251
"Bens Industriais",20090623,4.52,3583,2732900,20420169
"Bens Industriais",20090624,4.40,2337,1861000,14271989
"Bens Industriais",20090625,4.42,2788,2679400,20982554
"Bens Industriais",20090626,4.62,2300,2331100,17823559
"Bens Industriais",20090629,4.36,1905,1640600,11483060
"Bens Industriais",20090630,4.47,1499,1613600,11870808
"Bens Industriais",20090701,4.29,2146,1548300,11914968
"Bens Industriais",20090702,4.48,2241,2353000,17528668
"Bens Industriais",20090703,4.61,979,882800,6155896
"Bens Industriais",20090706,4.11,1930,1952100,13731265
"Bens Industriais",20090707,4.16,1976,2951800,21760267
"Bens Industriais",20090708,4.17,2437,1598300,11471647
"Bens Industriais",20090710,4.63,3011,2283500,16983147
"Bens Industriais",20090713,4.29,2480,2453000,18227025
"Bens Industriais",20090714,4.87,2354,3275600,22417620
"Bens Industriais",20090715,4.22,4542,4700800,34443666
"Bens Industriais",20090716,4.73,2924,3189700,25452679
"Bens Industriais",20090717,4.59,2250,2341400,18494924
"Bens Industriais",20090720,4.47,1857,2342800,17111046
"Bens Industriais",20090721,4.72,2704,2574700,20752204
"Bens Industriais",20090722,4.60,1897,1885700,15152061
"Bens Industriais",20090723,4.32,4781,6500200,48996003
"Bens Industriais",20090724,4.43,2409,2835900,19696948
"Bens Industriais",20090727,4.44,2015,2515700,19225855
"Bens Industriais",20090728,4.41,2480,2858500,21395877
"Bens Industriais",20090729,4.64,2241,2403500,17765887
"Bens Industriais",20090730,4.72,4656,4277900,36099883
"Bens Industriais",20090731,5.14,6911,9622300,83055375
"Bens Industriais",20090803,5.27,8743,6872800,65473833
"Bens Industriais",20090804,5.50,6297,6267600,61301355
"Bens Industriais",20090805,5.17,3548,4081700,36207229
"Bens Industriais",20090806,5.33,4234,3457400,32458589
"Bens Industriais",20090807,5.55,3462,3428800,32025557
"Bens Industriais",20090810,5.54,9414,6577000,67699202
"Bens Industriais",20090811,5.79,7184,6204900,65525237
"Bens Industriais",20090812,5.87,4664,3656500,37526167
"Bens Industriais",20090813,5.44,3113,3898800,32051702
"Bens Industriais",20090814,5.82,4014,4461300,38725272
"Bens Industriais",20090817,5.20,4566,4809900,34573249
"Bens Industriais",20090818,5.42,3755,3073100,26326442
"Bens Industriais",20090819,5.41,2954,2877300,27414655
"Bens Industriais",20090820,5.51,2626,4100000,36336639
"Bens Industriais",20090821,5.49,2962,2578000,24641611
"Bens Industriais",20090824,5.60,2886,2706200,26424277
