"segmento","hora","media","negocios","quantidade_papeis","volume_financeiro"
"Exploracao de Imoveis",20130115,32.93,13348,3374900,98974156
"Exploracao de Imoveis",20130116,32.95,8041,2454000,70137476
"Exploracao de Imoveis",20130117,33.05,8702,3765900,108810773
"Exploracao de Imoveis",20130118,33.80,9131,4385700,158483640
"Exploracao de Imoveis",20130121,32.37,8569,2249200,70424562
"Exploracao de Imoveis",20130122,33.45,8472,2048300,61074481
"Exploracao de Imoveis",20130123,32.61,11274,3480300,114856269
"Exploracao de Imoveis",20130124,32.77,15645,5608400,167994829
"Exploracao de Imoveis",20130128,32.44,17328,6692400,190940479
"Exploracao de Imoveis",20130129,32.33,19715,7943800,215102804
"Exploracao de Imoveis",20130130,31.48,19426,6608300,183791553
"Exploracao de Imoveis",20130131,31.45,16470,5236400,148703829
"Exploracao de Imoveis",20130201,31.50,20131,8673400,237563920
"Exploracao de Imoveis",20130204,31.84,17421,4163500,115182919
"Exploracao de Imoveis",20130205,32.44,15390,3894900,124679325
"Exploracao de Imoveis",20130206,32.30,14806,3890100,119996172
"Exploracao de Imoveis",20130207,31.82,15081,5900000,167025455
"Exploracao de Imoveis",20130208,31.48,17161,5386600,151748472
"Exploracao de Imoveis",20130213,32.27,13910,3415300,102918429
"Exploracao de Imoveis",20130214,31.93,11215,2816200,84596274
"Exploracao de Imoveis",20130215,30.84,21251,7157800,207888880
"Exploracao de Imoveis",20130218,30.94,14086,5075800,146281287
"Exploracao de Imoveis",20130219,30.84,17906,5427400,150490563
"Exploracao de Imoveis",20130220,30.45,24020,6631100,185457572
"Exploracao de Imoveis",20130221,31.10,22059,5686900,151194985
"Exploracao de Imoveis",20130222,30.98,20227,6724100,190817356
"Exploracao de Imoveis",20130225,30.52,17029,5630400,152118816
"Exploracao de Imoveis",20130226,30.09,23608,8016700,208512118
"Exploracao de Imoveis",20130227,30.51,24766,11580300,290724431
"Exploracao de Imoveis",20130228,30.52,22859,7297700,203706518
"Exploracao de Imoveis",20130301,32.14,27687,6761000,202804929
"Exploracao de Imoveis",20130304,31.66,18048,4060100,125321640
"Exploracao de Imoveis",20130305,32.20,21440,6604700,186137098
"Exploracao de Imoveis",20130306,32.35,20833,5259900,150157212
"Exploracao de Imoveis",20130307,32.47,16293,6047200,168166095
"Exploracao de Imoveis",20130308,31.96,17429,5236100,154920706
"Exploracao de Imoveis",20130311,32.26,16494,4262600,128984703
"Exploracao de Imoveis",20130312,32.43,12891,2837000,77992410
"Exploracao de Imoveis",20130313,31.62,16099,4664700,127153586
"Exploracao de Imoveis",20130314,31.57,16631,3705000,106301645
"Exploracao de Imoveis",20130315,31.46,13788,4143000,118493885
"Exploracao de Imoveis",20130318,31.05,14026,4330200,124830027
"Exploracao de Imoveis",20130319,31.53,14163,3282600,100883211
"Exploracao de Imoveis",20130320,31.62,14502,4023700,112165905
"Exploracao de Imoveis",20130321,30.17,18906,6272300,190069993
"Exploracao de Imoveis",20130322,30.32,21351,6075100,161106812
"Exploracao de Imoveis",20130325,31.17,14744,5204700,133804802
"Exploracao de Imoveis",20130326,30.55,14771,5029100,135423997
"Exploracao de Imoveis",20130327,31.09,15371,4209100,118028731
"Exploracao de Imoveis",20130328,31.83,20080,7131300,251502353
"Exploracao de Imoveis",20130401,31.77,18160,6002300,208066451
"Exploracao de Imoveis",20130402,31.07,18140,6470000,210862178
"Exploracao de Imoveis",20130403,30.60,22338,6981800,187452919
"Exploracao de Imoveis",20130404,30.90,19357,7035100,203661243
"Exploracao de Imoveis",20130405,29.66,34366,12160400,299841215
"Exploracao de Imoveis",20130408,29.55,16052,7269900,183416889
"Exploracao de Imoveis",20130409,30.51,22736,7627700,189641753
"Exploracao de Imoveis",20130410,31.40,23953,8960000,220315520
"Exploracao de Imoveis",20130411,29.44,17182,6073300,154847022
"Exploracao de Imoveis",20130412,29.33,29314,10010400,242415055
"Exploracao de Imoveis",20130415,28.75,41164,11808600,296902286
"Exploracao de Imoveis",20130416,28.91,25325,11146300,273235532
"Exploracao de Imoveis",20130417,29.19,20743,16105200,386281289
"Exploracao de Imoveis",20130418,30.08,26768,11540400,285261929
"Exploracao de Imoveis",20130419,30.00,15450,7739800,194517752
"Exploracao de Imoveis",20130422,30.58,19546,5554800,142980320
"Exploracao de Imoveis",20130423,31.42,13502,5531100,151079137
"Exploracao de Imoveis",20130424,30.72,17138,5807700,151502071
"Exploracao de Imoveis",20130425,30.74,16874,4858000,123418344
"Exploracao de Imoveis",20130426,29.88,15382,5241400,139910743
"Exploracao de Imoveis",20130429,30.23,14287,3308000,82348725
"Exploracao de Imoveis",20130430,30.12,24333,9761500,240815553
"Exploracao de Imoveis",20130502,30.67,23786,6952600,165931869
"Exploracao de Imoveis",20130503,30.35,21705,12069000,277430119
"Exploracao de Imoveis",20130506,29.69,21664,9118500,211082033
"Exploracao de Imoveis",20130507,30.34,22919,8120000,204433321
"Exploracao de Imoveis",20130508,31.31,28095,11596300,288511389
"Exploracao de Imoveis",20130509,30.80,30422,7564300,194972743
"Exploracao de Imoveis",20130510,30.10,23005,6669700,166767969
"Exploracao de Imoveis",20130513,30.16,19889,6465400,159442824
"Exploracao de Imoveis",20130514,31.08,23644,8616200,213646202
"Exploracao de Imoveis",20130515,31.41,17544,7325600,213399757
"Exploracao de Imoveis",20130516,31.35,18827,7862000,196876410
"Exploracao de Imoveis",20130517,31.32,12714,7803100,207532093
"Exploracao de Imoveis",20130520,31.55,14485,5739000,149355548
"Exploracao de Imoveis",20130521,30.98,18976,12359400,293293694
"Exploracao de Imoveis",20130522,31.23,24530,10594800,262099063
"Exploracao de Imoveis",20130523,31.43,22685,6994400,183439146
"Exploracao de Imoveis",20130524,31.17,20160,5009900,131898884
"Exploracao de Imoveis",20130527,31.25,6473,1373500,35223405
"Exploracao de Imoveis",20130528,30.74,22772,7472300,186674459
"Exploracao de Imoveis",20130529,29.60,24056,8909000,220359108
"Exploracao de Imoveis",20130531,28.80,40454,14616200,351007419
"Exploracao de Imoveis",20130603,29.10,27072,7808600,191916956
"Exploracao de Imoveis",20130604,28.35,26786,6609600,151143970
"Exploracao de Imoveis",20130605,28.95,27284,11086100,258142960
"Exploracao de Imoveis",20130606,28.76,21920,7296900,168915789
"Exploracao de Imoveis",20130607,28.31,22319,10660500,238652909
"Exploracao de Imoveis",20130610,27.52,22009,10741600,240296805
"Exploracao de Imoveis",20130611,26.32,41132,13668700,297637099
"Exploracao de Imoveis",20130612,27.26,34064,11338900,240493596
"Exploracao de Imoveis",20130613,27.10,33095,10558800,227707768
"Exploracao de Imoveis",20130614,27.23,22391,18041200,358950457
"Exploracao de Imoveis",20130617,27.18,17850,5320300,116574941
"Exploracao de Imoveis",20130618,27.01,17274,4295100,92220349
"Exploracao de Imoveis",20130619,27.26,21174,7924600,168247656
"Exploracao de Imoveis",20130620,25.51,36244,13924300,300804608
"Exploracao de Imoveis",20130621,26.36,28997,11548700,238510856
"Exploracao de Imoveis",20130624,25.47,34374,8735000,175794807
"Exploracao de Imoveis",20130625,25.94,27539,6481300,138160665
"Exploracao de Imoveis",20130626,26.99,28135,7454100,161521883
"Exploracao de Imoveis",20130627,27.69,23473,7652700,173156325
"Exploracao de Imoveis",20130628,27.31,27320,7543000,167295230
"Exploracao de Imoveis",20130701,27.21,22122,6487200,139050866
"Exploracao de Imoveis",20130702,26.67,21998,7361900,154629329
"Exploracao de Imoveis",20130703,25.63,21802,7310600,148880522
"Exploracao de Imoveis",20130704,26.76,11909,3506900,72897627
"Exploracao de Imoveis",20130705,25.79,21779,6548300,130044686
"Exploracao de Imoveis",20130708,26.14,17039,8377300,164084048
"Exploracao de Imoveis",20130710,26.20,16927,5821600,112797116
"Exploracao de Imoveis",20130711,27.47,19837,6317600,135458098
"Exploracao de Imoveis",20130712,27.34,16710,4796800,100664916
"Exploracao de Imoveis",20130715,27.23,14083,4791700,108748539
"Exploracao de Imoveis",20130716,27.52,16700,4662600,103508741
"Exploracao de Imoveis",20130717,27.57,17931,5641600,120886641
"Exploracao de Imoveis",20130718,27.58,19373,7526700,163391575
"Exploracao de Imoveis",20130719,27.93,15970,4114200,86841313
"Exploracao de Imoveis",20130722,27.73,16673,4290900,93022262
"Exploracao de Imoveis",20130723,27.57,16657,4578600,97694883
"Exploracao de Imoveis",20130724,27.81,14088,4823200,105192181
"Exploracao de Imoveis",20130725,27.62,14533,5194500,107019246
"Exploracao de Imoveis",20130726,27.97,12328,2996900,70449940
"Exploracao de Imoveis",20130729,27.86,15922,4683300,106644221
"Exploracao de Imoveis",20130730,27.07,16581,4855100,105697136
"Exploracao de Imoveis",20130731,26.54,14809,3595500,88777840
"Exploracao de Imoveis",20130801,27.28,22091,6821100,160562583
"Exploracao de Imoveis",20130802,27.06,16137,4116900,92236050
"Exploracao de Imoveis",20130805,27.21,12514,4010200,90378473
"Exploracao de Imoveis",20130806,26.13,20881,6335300,140936653
"Exploracao de Imoveis",20130807,26.79,15295,4015400,95930981
"Exploracao de Imoveis",20130808,26.24,23405,6856300,148464579
"Exploracao de Imoveis",20130809,26.40,18202,5374700,116777772
"Exploracao de Imoveis",20130812,26.55,23302,7167500,158001364
"Exploracao de Imoveis",20130813,27.10,27077,6111600,130050616
"Exploracao de Imoveis",20130814,26.95,32564,10031800,220174496
"Exploracao de Imoveis",20130815,26.55,24286,6145000,135371719
"Exploracao de Imoveis",20130816,26.32,21241,9064800,199857843
"Exploracao de Imoveis",20130819,25.51,22391,7409700,155959951
"Exploracao de Imoveis",20130820,25.17,18993,7413900,148712877
"Exploracao de Imoveis",20130821,25.08,17899,6087300,123798843
"Exploracao de Imoveis",20130822,25.00,14334,5446900,109490358
"Exploracao de Imoveis",20130823,24.89,17564,9325200,180460153
"Exploracao de Imoveis",20130826,25.62,21090,5721700,115737160
"Exploracao de Imoveis",20130827,24.61,18871,6913400,129419880
"Exploracao de Imoveis",20130828,24.78,12383,3864400,78396423
"Exploracao de Imoveis",20130829,25.38,11854,3391900,73882653
"Exploracao de Imoveis",20130830,24.98,15719,9079700,180980798
"Exploracao de Imoveis",20130902,26.12,17261,4498100,94648510
