DiadaSemana,Mes,Dia,Ano,Jornal,qtNoticias,qtComentarios,qtTweets,qtFacebook,qtLinkedIn,qtGooglePlus,qtTotalEngajamento,qtPos,qtNeg,qtNeu,classes
Fri,NOV,18,2005,ESTADAO,12,0,0,0,0,0,0,10,2,0,Levemente Bom
Mon,NOV,21,2005,ESTADAO,5,0,0,0,0,0,0,5,0,0,Levemente Bom
Tue,NOV,22,2005,ESTADAO,13,0,0,0,0,0,0,13,0,0,Bom
Wed,NOV,23,2005,ESTADAO,7,0,0,0,0,0,0,5,1,1,Bom
Thu,NOV,24,2005,ESTADAO,16,0,0,0,0,0,0,14,1,1,Levemente Bom
Fri,NOV,25,2005,ESTADAO,7,0,0,0,0,0,0,4,1,2,Levemente Ruim
Mon,NOV,28,2005,ESTADAO,17,0,0,0,0,0,0,11,2,4,Ruim
Tue,NOV,29,2005,ESTADAO,15,0,0,0,0,0,0,12,1,2,Levemente Bom
Wed,NOV,30,2005,ESTADAO,14,0,0,0,0,0,0,11,1,2,Levemente Bom
Thu,DEZ,1,2005,ESTADAO,17,0,0,0,0,0,0,11,4,2,Otimo
Fri,DEZ,2,2005,ESTADAO,18,0,0,0,0,0,0,10,8,0,Levemente Bom
Mon,DEZ,5,2005,ESTADAO,16,0,0,0,0,0,0,10,4,2,Levemente Ruim
Tue,DEZ,6,2005,ESTADAO,18,0,0,0,0,1,1,12,4,2,Bom
Wed,DEZ,7,2005,ESTADAO,8,0,0,0,0,0,0,3,3,2,Ruim
Thu,DEZ,8,2005,ESTADAO,4,0,0,0,0,0,0,2,2,0,Levemente Ruim
Fri,DEZ,9,2005,ESTADAO,10,0,0,0,0,0,0,6,2,2,Bom
Mon,DEZ,12,2005,ESTADAO,11,0,0,0,0,0,0,9,0,2,Levemente Bom
Tue,DEZ,13,2005,ESTADAO,8,0,0,0,0,0,0,8,0,0,Bom
Wed,DEZ,14,2005,ESTADAO,15,0,0,0,0,0,0,12,1,2,Levemente Bom
Thu,DEZ,15,2005,ESTADAO,14,0,0,0,0,0,0,10,4,0,Ruim
Fri,DEZ,16,2005,ESTADAO,5,0,0,0,0,0,0,4,0,1,Levemente Bom
Mon,DEZ,19,2005,ESTADAO,13,0,0,0,0,0,0,10,3,0,Levemente Ruim
Tue,DEZ,20,2005,ESTADAO,3,0,0,0,0,0,0,3,0,0,Levemente Bom
Wed,DEZ,21,2005,ESTADAO,5,0,0,2,0,0,2,5,0,0,Bom
Thu,DEZ,22,2005,ESTADAO,14,0,0,2,0,0,2,11,1,2,Levemente Ruim
Fri,DEZ,23,2005,ESTADAO,2,0,0,0,0,0,0,2,0,0,Levemente Ruim
Mon,DEZ,26,2005,ESTADAO,12,0,0,0,0,0,0,10,1,1,Levemente Ruim
Tue,DEZ,27,2005,ESTADAO,5,0,0,0,0,0,0,5,0,0,Levemente Bom
Wed,DEZ,28,2005,ESTADAO,1,0,0,0,0,0,0,1,0,0,Levemente Ruim
Thu,DEZ,29,2005,ESTADAO,4,0,0,0,0,0,0,3,1,0,Levemente Bom
Mon,JAN,2,2006,ESTADAO,9,0,0,0,0,0,0,9,0,0,Levemente Bom
Tue,JAN,3,2006,ESTADAO,8,0,0,0,0,0,0,7,0,1,Otimo
Wed,JAN,4,2006,ESTADAO,16,0,0,0,0,0,0,14,0,2,Bom
Thu,JAN,5,2006,ESTADAO,8,0,0,0,0,0,0,8,0,0,Levemente Ruim
Fri,JAN,6,2006,ESTADAO,10,0,0,0,0,0,0,8,0,2,Bom
Mon,JAN,9,2006,ESTADAO,13,0,0,0,0,0,0,12,0,1,Levemente Ruim
Tue,JAN,10,2006,ESTADAO,16,0,0,0,0,0,0,16,0,0,Levemente Ruim
Wed,JAN,11,2006,ESTADAO,12,0,0,0,0,0,0,11,0,1,Otimo
Thu,JAN,12,2006,ESTADAO,18,0,0,0,0,0,0,14,3,1,Levemente Ruim
Fri,JAN,13,2006,ESTADAO,30,0,0,0,0,0,0,23,2,5,Levemente Bom
Mon,JAN,16,2006,ESTADAO,18,0,0,0,0,0,0,15,0,3,Bom
Tue,JAN,17,2006,ESTADAO,12,0,0,0,0,0,0,9,1,2,Ruim
Thu,JAN,19,2006,ESTADAO,24,0,0,2,0,0,2,21,1,2,Otimo
Fri,JAN,20,2006,ESTADAO,19,0,0,0,0,0,0,14,1,4,Levemente Ruim
Mon,JAN,23,2006,ESTADAO,25,0,0,0,0,0,0,17,0,8,Levemente Ruim
Tue,JAN,24,2006,ESTADAO,16,0,0,0,0,0,0,13,2,1,Otimo
Thu,JAN,26,2006,ESTADAO,20,0,0,0,0,0,0,17,2,1,Bom
Fri,JAN,27,2006,ESTADAO,24,0,0,0,0,0,0,15,6,3,Levemente Ruim
Mon,JAN,30,2006,ESTADAO,34,0,0,0,0,0,0,24,4,6,Bom
Tue,JAN,31,2006,ESTADAO,25,0,0,0,0,0,0,19,4,2,Levemente Bom
Wed,FEV,1,2006,ESTADAO,26,0,0,0,0,0,0,22,0,4,Levemente Bom
Thu,FEV,2,2006,ESTADAO,19,0,0,0,0,0,0,14,3,2,Pessimo
Fri,FEV,3,2006,ESTADAO,24,0,0,0,0,0,0,19,2,3,Levemente Ruim
Mon,FEV,6,2006,ESTADAO,12,0,0,0,0,0,0,9,0,3,Levemente Bom
Tue,FEV,7,2006,ESTADAO,22,0,0,0,0,0,0,19,1,2,Pessimo
Wed,FEV,8,2006,ESTADAO,17,0,0,0,0,0,0,15,1,1,Levemente Ruim
Thu,FEV,9,2006,ESTADAO,15,0,0,0,0,0,0,9,3,3,Bom
Fri,FEV,10,2006,ESTADAO,26,0,0,0,0,0,0,13,6,7,Levemente Bom
Mon,FEV,13,2006,ESTADAO,25,0,0,0,0,0,0,22,2,1,Pessimo
Tue,FEV,14,2006,ESTADAO,26,0,0,0,0,0,0,19,3,4,Bom
Wed,FEV,15,2006,ESTADAO,20,0,0,0,0,0,0,13,3,4,Bom
Thu,FEV,16,2006,ESTADAO,25,0,0,0,0,0,0,21,2,2,Otimo
Fri,FEV,17,2006,ESTADAO,27,0,0,0,0,0,0,19,5,3,Levemente Bom
Mon,FEV,20,2006,ESTADAO,23,0,0,0,0,0,0,17,0,6,Levemente Bom
Tue,FEV,21,2006,ESTADAO,22,0,0,0,0,0,0,16,3,3,Levemente Ruim
Wed,FEV,22,2006,ESTADAO,34,0,0,0,0,0,0,20,5,9,Levemente Bom
Thu,FEV,23,2006,ESTADAO,25,0,0,0,0,0,0,21,0,4,Levemente Bom
Fri,FEV,24,2006,ESTADAO,27,0,0,0,0,0,0,16,4,7,Levemente Bom
Wed,MAR,1,2006,ESTADAO,21,0,0,0,0,0,0,16,1,4,Bom
Thu,MAR,2,2006,ESTADAO,24,0,0,0,0,0,0,19,3,2,Levemente Ruim
Fri,MAR,3,2006,ESTADAO,24,0,0,0,0,0,0,16,4,4,Levemente Bom
Mon,MAR,6,2006,ESTADAO,23,0,0,0,0,0,0,14,3,6,Pessimo
Tue,MAR,7,2006,ESTADAO,16,0,0,0,0,0,0,14,1,1,Pessimo
Wed,MAR,8,2006,ESTADAO,32,0,0,0,0,0,0,30,0,2,Levemente Ruim
Thu,MAR,9,2006,ESTADAO,22,0,0,0,0,0,0,17,1,4,Pessimo
Fri,MAR,10,2006,ESTADAO,28,0,0,0,0,0,0,14,4,10,Bom
Mon,MAR,13,2006,ESTADAO,29,0,0,0,0,0,0,22,2,5,Levemente Ruim
Tue,MAR,14,2006,ESTADAO,11,0,0,0,0,0,0,8,0,3,Otimo
Wed,MAR,15,2006,ESTADAO,18,0,0,0,0,0,0,11,6,1,Bom
Thu,MAR,16,2006,ESTADAO,20,0,0,0,0,0,0,12,8,0,Levemente Ruim
Fri,MAR,17,2006,ESTADAO,21,0,0,0,0,0,0,20,1,0,Levemente Ruim
Mon,MAR,20,2006,ESTADAO,18,0,0,0,0,0,0,9,1,8,Levemente Bom
Tue,MAR,21,2006,ESTADAO,22,0,0,0,0,0,0,16,2,4,Pessimo
Wed,MAR,22,2006,ESTADAO,14,0,0,0,0,0,0,9,2,3,Bom
Thu,MAR,23,2006,ESTADAO,29,0,0,0,0,0,0,23,4,2,Ruim
Fri,MAR,24,2006,ESTADAO,17,0,0,0,0,0,0,13,1,3,Levemente Bom
Mon,MAR,27,2006,ESTADAO,33,0,0,0,0,0,0,18,4,11,Levemente Bom
Tue,MAR,28,2006,ESTADAO,43,0,0,0,0,0,0,30,6,7,Pessimo
Wed,MAR,29,2006,ESTADAO,29,0,0,0,0,0,0,21,3,5,Otimo
Thu,MAR,30,2006,ESTADAO,24,0,0,0,0,0,0,17,4,3,Levemente Bom
Fri,MAR,31,2006,ESTADAO,23,0,0,0,0,0,0,17,4,2,Levemente Bom
Mon,ABR,3,2006,ESTADAO,26,0,0,0,0,0,0,23,1,2,Otimo
Tue,ABR,4,2006,ESTADAO,24,0,0,0,0,0,0,14,3,7,Levemente Bom
Wed,ABR,5,2006,ESTADAO,33,0,0,0,0,0,0,24,8,1,Levemente Bom
Thu,ABR,6,2006,ESTADAO,30,0,0,0,0,0,0,25,2,3,Levemente Bom
Fri,ABR,7,2006,ESTADAO,22,0,0,14,0,0,14,19,0,3,Levemente Ruim
Mon,ABR,10,2006,ESTADAO,22,0,0,14,0,0,14,16,3,3,Ruim
Tue,ABR,11,2006,ESTADAO,28,0,0,0,0,0,0,22,1,5,Ruim
Wed,ABR,12,2006,ESTADAO,25,0,0,0,0,0,0,22,1,2,Bom
Thu,ABR,13,2006,ESTADAO,17,0,0,0,0,0,0,15,2,0,Levemente Ruim
Mon,ABR,17,2006,ESTADAO,18,0,0,0,0,0,0,15,2,1,Bom
Tue,ABR,18,2006,ESTADAO,21,0,0,0,0,0,0,17,1,3,Otimo
Wed,ABR,19,2006,ESTADAO,41,0,0,0,0,0,0,34,1,6,Levemente Bom
Thu,ABR,20,2006,ESTADAO,23,0,0,0,0,0,0,13,6,4,Levemente Ruim
Mon,ABR,24,2006,ESTADAO,17,0,0,0,0,0,0,13,1,3,Levemente Ruim
Tue,ABR,25,2006,ESTADAO,39,0,0,0,0,0,0,31,3,5,Levemente Ruim
Wed,ABR,26,2006,ESTADAO,29,0,0,0,0,0,0,21,4,4,Bom
Thu,ABR,27,2006,ESTADAO,32,0,0,0,0,0,0,25,4,3,Ruim
Fri,ABR,28,2006,ESTADAO,31,0,0,1,0,0,1,21,2,8,Bom
Tue,MAI,2,2006,ESTADAO,18,0,0,0,0,0,0,13,2,3,Bom
Wed,MAI,3,2006,ESTADAO,32,0,0,0,0,0,0,28,2,2,Levemente Ruim
Thu,MAI,4,2006,ESTADAO,28,0,1,167,0,0,168,19,4,5,Levemente Bom
Fri,MAI,5,2006,ESTADAO,30,0,1,181,0,0,182,19,5,6,Bom
